  0.999029  0.0318915 -0.0304162    1.16318	   0.999684 -0.00606265  -0.0243918      1.1846
  0.999249  0.0355005 -0.0155208   0.401709	   0.999911 -0.00189716   -0.013229    0.408826
-0.00499269  0.495279 -0.868719   0.49222	0.0175691 -0.151449 -0.988309  0.473913
0.00868407 -0.278572 -0.960376  0.716797	0.00993117 -0.849493 -0.527506   0.78112
   0.99963  0.0114244 -0.0246799   0.295681	   0.999558   0.0292261 -0.00544887    0.295617
0.0245258  0.297262 -0.954481  0.866567	0.0314246  -0.44822 -0.893371  0.883018
0.0263829  0.354208 -0.934794  0.868232	0.0421699 -0.38188 -0.92325 0.877331
-0.106799  0.082099 -0.990885  0.617012	-0.0184453  -0.59837 -0.801008  0.679277
-0.123587  0.120981 -0.984931  0.606554	-0.0277805 -0.575562 -0.817286    0.6614
-0.078791 0.120509 -0.98958  2.19044	-0.0602225 -0.572222 -0.817885   2.25296
-0.0981638 0.0475081 -0.994036  0.613683	-0.00673375 -0.624712 -0.780826  0.674606
-0.0787134 0.0611602 -0.995019   2.18899	-0.0791011 -0.649051 -0.756621    2.2313
0.0253818 -0.561409 -0.827149  0.454394	 0.0187724  -0.997981 -0.0606693   0.417836
-0.064359   0.26714 -0.961506   2.77989	-0.048365 -0.387151 -0.920747   2.77099
 0.021922  0.180191 -0.983387   1.63419	-0.00367525 -0.474212 -0.880403   1.66654
  0.999294  0.0254714 -0.0276043   0.484947	 0.999609 0.0250405 -0.012418  0.469586
-0.0223546  -0.21407 -0.976562    2.0168	-0.0863451 -0.865905   -0.4927    2.0272
-0.0378215 0.0711578 -0.996748   1.97137	-0.0378062 -0.594977 -0.802853   1.99705
-0.0125193   0.42921 -0.903118  0.937129	-0.00146306 -0.231486 -0.972837  0.914759
-0.0183433  0.169625 -0.985338  0.992554	-0.0239738 -0.480511 -0.876661   1.04401
0.00575521  0.294962 -0.955492  0.572311	-0.00971704 -0.362284 -0.932017  0.738802
-0.0172335 0.547238  -0.8368 0.550166	-0.00279677 -0.0952098  -0.995453   0.518397
  0.999607  0.0153452 -0.0234687   0.441249	   0.999688   0.0249781 0.000537559    0.430558
-0.102924  0.570156 -0.815064   2.05413	-0.0369509 -0.0903091  -0.995228    2.04474
  0.999468 0.00352466 -0.0324097   0.675543	   0.999913 -0.00663274  -0.0113618    0.671708
  0.999767 -0.0171318 -0.0131341   0.656871	   0.999891   0.0139265 -0.00496454     0.67358
  0.999452 -0.0162361 -0.0288635   0.790315	  0.999606   0.024777 -0.0131589   0.787889
-0.0732627  0.165085 -0.983554   2.60764	-0.0858073 -0.550739 -0.830255   2.65674
 -0.17761  0.446886 -0.876782   1.58625	-0.179736 -0.243202 -0.953178   1.75644
-0.154088 0.0320444 -0.987537   1.34959	 -0.16291 -0.626237 -0.762422   1.40054
 -0.142883 -0.0558031  -0.988165    1.09229	-0.152067 -0.696284 -0.701473    1.1428
-0.136569 0.0285921 -0.990218   0.55494	 -0.14418 -0.641456  -0.75349  0.589462
 0.986062 0.0630052 -0.153984   1.14793	  0.987369 -0.0509578  -0.150016    1.17585
  0.98834 0.0730255 -0.133607  0.385864	  0.987474 -0.0592585   -0.14623   0.421454
 0.983897 0.0691073 -0.164835   1.13539	 0.990038 -0.053702 -0.130157   1.11598
 0.984721 0.0713376 -0.158855  0.426752	  0.988597 -0.0415389   -0.14474    0.42925
 0.984854 0.0659054 -0.160369   1.13234	  0.988293 -0.0523123  -0.143322    1.13495
-0.0858348  -0.48677 -0.869303  0.470638	-0.0821663 -0.959723 -0.268665  0.516526
