  0.999495 -0.0221501  -0.022802    1.17133	   0.999981 -0.00610717  0.00121586     1.14931
  0.999586 -0.0173136 -0.0229587    1.16485	   0.999891  -0.0130081 -0.00697963     1.15588
  0.999431  0.0335289 -0.0035559    1.14863	   0.999894  -0.0109397 -0.00958859      1.1572
   0.99888  0.0465037 -0.0087036    1.16357	   0.999926  -0.0111737 -0.00480172      1.1338
0.0193176 -0.645657 -0.763383  0.632063	0.00290981 -0.991186 -0.132445  0.651998
0.0121355  -0.33265 -0.942972  0.977642	0.00608202 -0.914167 -0.405292   1.01397
0.00309021 -0.259703 -0.965684   1.19079	0.00354493 -0.871565 -0.490267   1.21388
-0.00538467 -0.00293454   -0.999981     1.48735	0.00345499 -0.635406  -0.77217    1.5586
 0.0115196   0.999117 -0.0403954   0.595574	0.00326019  0.581294 -0.813687  0.775368
0.0143574  0.736809 -0.675949  0.993523	0.0324385 0.0728555 -0.996815  0.967522
-0.0813733  0.690293 -0.718939   1.71374	0.0439994  0.044629 -0.998034   1.53625
0.0288495  0.426333 -0.904106   1.26639	0.0279706 -0.221516 -0.974756   1.22386
  0.999882  0.0111743 -0.0105255    1.14356	  0.999725 -0.0202753  0.0117981    1.11312
  0.999762   0.017377 -0.0131755     1.1575	   0.999919  -0.0126531 -0.00123424     1.13745
  0.999761 0.00703759 -0.0207008    1.14573	  0.999862 -0.0110733 -0.0124201    1.14146
  0.999675 -0.0040917  -0.025162    1.13755	   0.999914 0.000249304  -0.0131329     1.13485
  0.999878 0.00041474 -0.0156002    1.15123	  0.999932 0.00337365  0.0111281    1.10339
-0.0110663  0.110031 -0.993867    1.1946	-0.0299248 -0.585162 -0.810364   1.21954
-0.0130978 -0.370206 -0.928857   1.18521	-0.0390332 -0.919837 -0.390355   1.22009
  0.999474 -0.0126069 -0.0298766    0.71977	   0.999928  0.00841015 -0.00860099    0.703312
  0.999731  0.0024925 -0.0230621   0.714615	   0.999935  0.00593762 -0.00977807    0.692049
  0.999576  0.0188016 -0.0222327    1.16255	  0.999785 -0.0116519 -0.0171685     1.1563
   0.999616   0.0265012 -0.00809913     1.15529	   0.999958 -0.00140053 -0.00904986     1.14964
-0.00070837 0.984072 -0.17777  0.75267	-0.000732743  0.578779 -0.815484  0.837965
   0.999496 -0.00119479   -0.031709     1.17665	  0.999567 -0.0270657 -0.0115229    1.16454
   0.999871   0.0145136 -0.00684432     1.15077	   0.999927  -0.0111564 -0.00462522      1.1572
-0.0285312 -0.328277 -0.944151   1.13582	-0.0226831 -0.919915 -0.391461   1.14231
  0.999709   0.010009 -0.0219293   0.683055	   0.999849 -0.00868118  -0.0150693    0.689007
  0.999686 0.00180319 -0.0250027    1.16367	           1 -0.000301584 -0.000215472      1.12867
  0.999551 0.00304206 -0.0297994    1.16907	   0.999961 -0.00878485 -0.00120196     1.12111
  0.999826  0.0148738 -0.0112652    1.13656	   0.999989 -0.00201336 -0.00418404     1.13116
  0.999835  0.0121955 -0.0134858    1.15895	   0.999993 -0.00189159  0.00337661     1.12516
  0.999785  0.0169816 -0.0118635    1.15623	   0.999996 -0.00152697 -0.00253989     1.13284
-0.0166207  0.535447 -0.844405   1.75931	-0.0580133 -0.151297 -0.986785   1.90061
-0.0732855  0.107219 -0.991531   2.17528	-0.0951863 -0.541304 -0.835422   2.21543
-0.0654961  0.030947 -0.997373   1.99269	-0.084125 -0.626616 -0.774774   2.03649
 -0.0832094 -0.00120285   -0.996531     1.59884	-0.116211 -0.642503  -0.75742   1.65398
  0.989782  -0.133107 -0.0511321    1.13136	0.987521 -0.14113 0.069893  1.13911
  0.991181  -0.127157 -0.0372908    1.09547	 0.985627 -0.150173  0.077382   1.10774
0.0935248 -0.332534 -0.938442  0.835191	-0.0332305 -0.909321 -0.414767  0.800818
  0.986196  -0.149427 -0.0713414   0.435576	  0.98752 -0.143618 0.0646426  0.441428
-0.083634 -0.409506 -0.908466   1.26083	-0.146485  -0.92666 -0.346183   1.28585
-0.0899153 -0.479572 -0.872884   1.29545	-0.159331 -0.944056 -0.288743   1.33911
  0.985618  -0.157149 -0.0621431    1.12034	  0.98297 -0.175424 0.0547443  0.989026
 0.987837 -0.136817 -0.073888   1.13652	 0.983867 -0.171263  0.051725   1.15374
