-0.976969 0.0491094 -0.207651    2.1478	 -0.983864 -0.0758769  -0.162029    2.03894
0.0657765 -0.593931 -0.801822   1.18551	0.0879281 -0.989439 -0.115238   1.20469
0.0865691 -0.313832 -0.945524   1.98221	  0.13318 -0.908231 -0.396711   1.91472
 0.118809   0.86385 -0.489537    1.4074	 0.127447  0.241829 -0.961913   1.38249
 0.154091  0.573221 -0.804782   1.36434	 0.149848 -0.131184 -0.979968   1.34369
 0.135632  0.241865 -0.960784   1.26364	  0.16228 -0.426036 -0.890033    1.2762
0.0911366 -0.383971 -0.918836   1.22612	 0.107791 -0.931311 -0.347908    1.2449
-0.988019 0.0789838 -0.132589   1.95869	 -0.986545 -0.0756922  -0.144914    1.98841
-0.984964  0.080771 -0.152717   2.02673	 -0.985501 -0.0807264  -0.149232    2.00194
0.0904238 -0.433038 -0.896829   1.44678	 0.104698 -0.951212 -0.290232   1.46356
  0.13661  0.142704 -0.980292   1.52928	 0.170594 -0.575207 -0.800022   1.52996
 0.128631 -0.058071 -0.989991   1.46639	 0.144202 -0.738684 -0.658446   1.49524
 0.139901  0.672633 -0.726631   1.35436	  0.153687 -0.0225081  -0.987863     1.3091
0.0609297  0.994346 -0.086973   1.00757	0.0709138  0.619158 -0.782058  0.976695
